機器ID,シノニム,種別
ROB-01,装着型移乗支援機器,一般名
ROB-01,パワーアシストスーツ,製品通称
ROB-01,マッスルスーツ,製品通称
ROB-01,アシストスーツ,表記ゆれ
ROB-02,非装着型移乗支援機器,一般名
ROB-02,移乗サポートロボット,表記ゆれ
ROB-02,ロボットリフト,製品通称
ROB-02,移乗リフト(ロボット),表記ゆれ
ROB-06,自動排泄処理装置,一般名
ROB-06,排泄処理ロボット,表記ゆれ
ROB-08,排泄予測デバイス,一般名
ROB-08,排尿予測,表記ゆれ
ROB-08,DFree,製品通称
ROB-08,膀胱内蓄尿量測定器,一般名
ROB-09,見守りセンサー,一般名
ROB-09,見守り支援機器,表記ゆれ
ROB-09,見守りシステム,表記ゆれ
ROB-09,離床センサー,製品ジャンル
ROB-09,離床マット,製品ジャンル
ROB-09,センサーマット,製品ジャンル
ROB-09,ベッドセンサー,製品ジャンル
ROB-09,体動センサー,製品ジャンル
ROB-09,眠りSCAN,製品通称
ROB-09,見守りライフ,製品通称
ROB-09,ネオスケア,製品通称
ROB-09,転倒検知センサー,製品ジャンル
ROB-11,コミュニケーションロボット,一般名
ROB-11,対話ロボット,表記ゆれ
ROB-11,PALRO,製品通称
ROB-11,LOVOT,製品通称
ROB-12,入浴支援機器,一般名
ROB-12,入浴介助リフト,製品ジャンル
ROB-12,機械浴,製品ジャンル
ICT-01,介護記録ソフト,一般名
ICT-01,介護ソフト,表記ゆれ
ICT-01,介護記録システム,表記ゆれ
ICT-01,記録・請求ソフト,表記ゆれ
ICT-01,介護業務支援ソフト,表記ゆれ
ICT-01,LIFE対応ソフト,製品ジャンル
ICT-01,カイポケ,製品通称
ICT-01,ほのぼの,製品通称
ICT-01,ワイズマン,製品通称
ICT-02,ケアプランソフト,表記ゆれ
ICT-02,ケアプラン作成支援システム,一般名
ICT-03,ケアプランデータ連携システム,一般名
ICT-03,ケアプランデータ連携,表記ゆれ
ICT-04,タブレット端末,一般名
ICT-04,スマホ,表記ゆれ
ICT-04,iPad,製品通称
ICT-04,モバイル端末,表記ゆれ
ICT-05,インカム,一般名
ICT-05,ハンズフリーインカム,表記ゆれ
ICT-05,業務用トランシーバー,製品ジャンル
ICT-05,スマホインカム,製品ジャンル
ICT-05,Buddycom,製品通称
ICT-06,Wi-Fi環境整備,表記ゆれ
ICT-06,無線LAN整備,一般名
ICT-06,ネットワーク整備,表記ゆれ
ICT-07,睡眠センサー,表記ゆれ
ICT-07,バイタルセンサー,一般名
ICT-07,睡眠計測,表記ゆれ
ICT-08,ナースコール連携,表記ゆれ
ICT-08,ナースコール,一般名
ICT-11,勤怠管理システム,一般名
ICT-11,シフト管理システム,表記ゆれ
ICT-11,シフト作成ソフト,製品ジャンル
FUK-01,天井走行リフト,一般名
FUK-01,天井リフト,表記ゆれ
FUK-02,床走行リフト,表記ゆれ
FUK-02,移動式リフト,製品ジャンル
FUK-02,介護リフト,表記ゆれ
FUK-03,スタンディングリフト,製品ジャンル
FUK-03,立位補助機,表記ゆれ
FUK-04,特殊浴槽,一般名
FUK-04,機械浴槽,表記ゆれ
ROB-09,見守り機器,表記ゆれ
ROB-09,見守りテクノロジー,表記ゆれ
ROB-09,見守り,表記ゆれ
