制度ID,実施主体,自治体名,制度名,カテゴリ,対象施設,対象機器タグ,補助率,補助上限,受付状況,締切目安,財源/根拠,出典URL,確度,備考
S-001,国→都道府県,全国(都道府県実施),介護テクノロジー導入支援事業,ICT・介護ロボット,介護保険サービス事業所全般,ROB-01〜13/ICT-01〜09,最大3/4(組合せ4/5)・その他1/2,パッケージ400万〜1000万/介護業務支援100万〜250万+端末等15万+連携5万,受付中(都道府県で異なる),2026年夏〜秋(都道府県別),地域医療介護総合確保基金(介護従事者確保分)+R7補正,https://www.mhlw.go.jp/content/12300000/001476528.pdf,高,基金を各都道府県が実施。上限・締切は都道府県要領で確定
S-002,都道府県,東京都,次世代介護機器導入促進支援事業,介護ロボット,都内の介護サービス事業所,ROB-01〜13,一部補助(要領による),機器区分により設定,受付中,2026-07-31(事業計画書),東京都(福祉保健財団),https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,高,S-001とは別枠の都独自事業
S-003,市区町村,港区,介護ロボット等導入支援事業,介護ロボット・ICT,区内介護事業所,ROB-09/ICT-01/ICT-05,区要領による,区要領による,要確認,要確認,港区,https://www.city.minato.tokyo.jp/kaigojigyoushien/robo.html,中,市区町村上乗せの代表例
S-004,国,厚生労働省,業務改善助成金,人材確保・生産性向上,全業種(介護事業所含む),ICT-01/ICT-05/ICT-11/FUK-01〜05,4/5(1050円未満)・3/4(1050円以上),600万(年間・同一事業主),受付前(9月開始見込),2026年秋以降,厚生労働省,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/roudoukijun/zigyonushi/shienjigyou/03.html,高,事業場内最低賃金の引上げが必須要件
S-005,国,中小企業庁/SMRJ,デジタル化・AI導入補助金2026(旧IT導入補助金),ICT,中小の介護事業者,ICT-01/ICT-02/ICT-10/ICT-12,通常枠1/2(賃金要件で2/3),枠により設定,受付中(通年公募),各回締切あり,中小企業基盤整備機構,https://it-shien.smrj.go.jp/applicant/subsidy/normal/,高,登録ITツール(介護ソフト等)が対象。セキュリティ枠あり
S-006,国,厚生労働省,人材確保等支援助成金(介護福祉機器助成コース),施設整備・介護福祉機器,介護事業所,FUK-01〜05,導入経費の一部(離職率要件),要確認,受付中(通年),随時,厚生労働省,要収集,中,移乗リフト等の介護福祉機器が対象
S-007,国,中小企業庁,ものづくり・商業・サービス補助金,生産性向上,中小の介護事業者,ICT-01/ICT-13,枠・類型による,枠による,受付中(公募回制),各回締切,中小企業庁,要収集,中,革新的サービス開発・生産性向上
S-008,国→都道府県,全国,地域介護・福祉空間整備等施設整備交付金,施設整備・改修,介護施設,-,交付要綱による,要確認,要確認,年度単位,地域医療介護総合確保基金(整備分),要収集,中,施設整備・防災・BCP設備等
S-009,都道府県,神奈川県,介護テクノロジー導入支援事業(県実施分),ICT・介護ロボット,県内介護事業所,ROB-01〜13/ICT-01〜09,S-001に準拠,県要領による,要確認,2026年度内,地域医療介護総合確保基金,要収集,要確認,都道府県テンプレ行。実額は県要領で確定
S-010,都道府県,大阪府,介護テクノロジー導入支援事業(府実施分),ICT・介護ロボット,府内介護事業所,ROB-01〜13/ICT-01〜09,S-001に準拠,府要領による,要確認,2026年度内,地域医療介護総合確保基金,要収集,要確認,都道府県テンプレ行
S-011,都道府県,愛知県,介護テクノロジー導入支援事業(県実施分),ICT・介護ロボット,県内介護事業所,ROB-01〜13/ICT-01〜09,S-001に準拠,県要領による,要確認,2026年度内,地域医療介護総合確保基金,要収集,要確認,都道府県テンプレ行
S-012,国,厚生労働省,働き方改革推進支援助成金,人材確保・労務,中小の介護事業者,ICT-11,一部補助(成果要件),枠による,受付中,年度内,厚生労働省,要収集,中,労働時間短縮・勤怠管理等
S-013,国→都道府県,全国,介護施設等の非常用自家発電・給水設備整備,感染症・BCP,入所系施設,-,交付要綱による,要確認,要確認,年度単位,地域医療介護総合確保基金(整備分),要収集,中,防災・BCP設備の代表枠
S-014,国,こども家庭庁/厚労省 他,各種賃上げ・処遇改善加算関連,人材確保・処遇改善,介護事業所,-,加算(補助金外),-,通年,制度改定に連動,介護報酬,要収集,参考,補助金ではないが支援現場で頻出のため参考掲載
