制度ID,都道府県,制度名,受付状況,申請締切,申請開始,補助率,補助上限,対象機器タグ,公式URL,確度,備考
P-01,北海道,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.hokkaido.lg.jp/hf/khf/223347.html,中,集約ページ由来(7/3時点)・要一次確認
P-02,青森県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.aomori.lg.jp/soshiki/kenko/koreihoken/kaigo-robot-hojo.html,中,集約ページ由来(7/3時点)・要一次確認
P-03,岩手県,介護テクノロジー導入支援事業,受付中,2026-08-07,2026-07-07,4/5,パッケージ1000万/機器100万(その他30万)/ソフト100〜250万・モデル2000万・連携モデル850万・協働化1200万,ROB-01〜13/ICT-01〜09,https://www.pref.iwate.jp/kurashikankyou/fukushi/1083030/1099125.html,高,公式確認済(2026-07-12)・事業区分A〜F(D/Eは定額10/10)
P-04,宮城県,介護テクノロジー導入支援事業,受付前,2026-08-中旬,2026-07-中旬,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.miyagi.jp/soshiki/chouju/r8kaigo-technology.html,中,開始時期未確定
P-05,秋田県,介護テクノロジー導入支援事業,受付中,2026-07-24,2026-05-26,4/5,1事業者400万,ROB-01〜13/ICT-01〜09,https://www.pref.akita.lg.jp/pages/archive/96091,高,公式確認済(2026-07-12)・事業計画書17時締切
P-06,山形県,介護テクノロジー導入支援事業,終了,2026-07-09,2026-06-08,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.yamagata.jp/090002/kenfuku/koreisha/jigyosha/kaigorobot_ict/26technology.html,中,締切超過(7/11時点)
P-07,福島県,福島県介護テクノロジー導入支援事業,受付中,2026-07-31,2026-06-23,4/5,1法人915万(業務改善は1事業所48万),ROB-01〜13/ICT-01〜09,https://www.pref.fukushima.lg.jp/sec/21025c/r8kaigorobot.html,高,公式確認済(2026-07-11)
P-08,茨城県,介護テクノロジー定着支援事業,終了,2026-06-30,2026-04-30,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.ibaraki.jp/hokenfukushi/chofuku/shisetsu/kaigorobottodounyuusiennzigyou.html,中,今年度受付終了
P-09,栃木県,栃木県介護テクノロジー定着支援事業,受付中,2026-08-10,2026-06-05,4/5,パッケージ1000万/機器100万(その他30万)・ソフト100〜250万,ROB-01〜13/ICT-01〜09,https://www.pref.tochigi.lg.jp/e03/r8kaigotechnologyhojokin.html,高,公式確認済(2026-07-12)・実施要領PDFから直接抽出(交付要領でなく実施要領に数値)
P-10,群馬県,介護テクノロジー導入支援事業,受付中,2026-07-31,2026-06-22,4/5,ソフト100〜250万(付帯込115〜265万)・見守りは定員2割まで,ROB-01〜13/ICT-01〜09,https://www.pref.gunma.jp/site/kaigojinzai/2301.html,高,公式確認済(2026-07-12)・交付要綱PDFから直接抽出
P-11,埼玉県,介護テクノロジー導入支援事業,受付中,2026-07-22,2026-06-24,4/5,単体500万/パッケージ750万/ソフト100〜250万,ROB-01/ROB-02/ROB-12/ROB-13/ICT-01/ICT-05,https://www.pref.saitama.lg.jp/a0603/kaigo-net/seisansei/r7kaigotec.html,高,公式確認済(2026-07-11)・締切は事前協議
P-12,千葉県,介護テクノロジー導入支援事業,受付中,2026-07-13,2026-06-10,4/5,最大1000万(パッケージ1015万),ROB-01〜13/ICT-01〜09,https://www.pref.chiba.lg.jp/koufuku/kaigorobot/kaigorobotjyouhou.html,高,公式確認済(2026-07-12)・締切は事前協議・実績報告2027-01-15
P-13,東京都,次世代介護機器導入促進支援事業,受付中,2026-07-31,2026-07-01,4/5(推進事業は7/8),法人合計1250万・機器37.5万〜125万/台(推進133.4万),ROB-01〜13/ICT-06,https://www.fukushizaidan.jp/206genbakaikaku/jisedai/,高,公式確認済(2026-07-12)・概要/交付要綱PDFから直接抽出・推進事業7/8は全国最高率・別途デジタル機器導入促進支援事業あり
P-14,神奈川県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.kanagawa.jp/docs/u6s/cnt/f420373/p1075201.html,中,県独自ロボット補助あり(別枠)
P-15,新潟県,介護テクノロジー導入支援事業,未定,未定,未定,要確認,要確認,ROB-01〜13/ICT-01〜09,https://www.pref.niigata.lg.jp/sec/kourei/kaigo-technology2025.html,中,新潟市は独自に受付中(市HP別掲)
