自治体コード,自治体名,親県コード,親県名,種別,収集ステータス,起点URL,備考
01202,函館市,01,北海道,中核市,県事業カバー,https://www.pref.hokkaido.lg.jp/hf/khf/223347.html,北海道事業でカバー(市独自未確認)
01204,旭川市,01,北海道,中核市,県事業カバー,https://www.pref.hokkaido.lg.jp/hf/khf/223347.html,北海道事業でカバー(市独自未確認)
02201,青森市,02,青森県,中核市,県事業カバー,https://www.pref.aomori.lg.jp/soshiki/kenko/koreihoken/kaigo-robot-hojo.html,青森県事業でカバー(市独自未確認)
02203,八戸市,02,青森県,中核市,県事業カバー,https://www.pref.aomori.lg.jp/soshiki/kenko/koreihoken/kaigo-robot-hojo.html,青森県事業でカバー(市独自未確認)
03201,盛岡市,03,岩手県,中核市,県事業カバー,https://www.pref.iwate.jp/kurashikankyou/fukushi/1083030/1099125.html,岩手県事業でカバー(市独自未確認)
05201,秋田市,05,秋田県,中核市,県事業カバー,https://www.pref.akita.lg.jp/pages/archive/96091,秋田県事業でカバー(市独自未確認)
06201,山形市,06,山形県,中核市,県事業カバー,https://www.pref.yamagata.jp/090002/kenfuku/koreisha/jigyosha/kaigorobot_ict/26technology.html,山形県事業でカバー(市独自未確認)
07201,福島市,07,福島県,中核市,県事業カバー,https://www.pref.fukushima.lg.jp/sec/21025c/r8kaigorobot.html,福島県事業でカバー(市独自未確認)
07203,郡山市,07,福島県,中核市,県事業カバー,https://www.pref.fukushima.lg.jp/sec/21025c/r8kaigorobot.html,福島県事業でカバー(市独自未確認)
07204,いわき市,07,福島県,中核市,県事業カバー,https://www.pref.fukushima.lg.jp/sec/21025c/r8kaigorobot.html,福島県事業でカバー(市独自は障害福祉分野のみ確認・高齢は県)
08201,水戸市,08,茨城県,中核市,県事業カバー,https://www.pref.ibaraki.jp/hokenfukushi/chofuku/shisetsu/kaigorobottodounyuusiennzigyou.html,茨城県事業でカバー(市独自未確認)
09201,宇都宮市,09,栃木県,中核市,県事業カバー,https://www.pref.tochigi.lg.jp/e03/r8kaigotechnologyhojokin.html,栃木県事業でカバー(市独自未確認)
10201,前橋市,10,群馬県,中核市,県事業カバー,https://www.pref.gunma.jp/site/kaigojinzai/2301.html,群馬県事業でカバー(市独自未確認)
10202,高崎市,10,群馬県,中核市,県事業カバー,https://www.pref.gunma.jp/site/kaigojinzai/2301.html,群馬県事業でカバー(市独自未確認)
11201,川越市,11,埼玉県,中核市,県事業カバー,https://www.pref.saitama.lg.jp/a0603/kaigo-net/seisansei/r7kaigotec.html,埼玉県事業でカバー(市独自未確認)
11203,川口市,11,埼玉県,中核市,県事業カバー,https://www.pref.saitama.lg.jp/a0603/kaigo-net/seisansei/r7kaigotec.html,埼玉県事業でカバー(市独自未確認)
11222,越谷市,11,埼玉県,中核市,県事業カバー,https://www.pref.saitama.lg.jp/a0603/kaigo-net/seisansei/r7kaigotec.html,埼玉県事業でカバー(市独自未確認)
12204,船橋市,12,千葉県,中核市,収集済,https://www.city.funabashi.lg.jp/jigyou/fukushi_kosodate/001/05/p110875.html,M-11(大規模修繕併せ型・中核市=広域型の補助者)
12217,柏市,12,千葉県,中核市,収集済,https://www.city.kashiwa.lg.jp/kourei/jigyosha/welfare_sr/hojokin/2608.html,M-13(公的介護施設等整備等補助金・ロボットICT含むかは要綱確認要)
13201,八王子市,13,東京都,中核市,県事業カバー,https://www.city.hachioji.tokyo.jp/jigyosha/010/p025448.html,市ページは都事業の案内のみ→都事業でカバー
14201,横須賀市,14,神奈川県,中核市,収集済,https://www.city.yokosuka.kanagawa.jp/2640/youkou/documents/shisetsu09.pdf,M-12(市の交付要綱PDF確認)
16201,富山市,16,富山県,中核市,県事業カバー,https://www.pref.toyama.jp/1211/kurashi/kenkou/koureisha/hojyokin/technology.html,富山県事業でカバー(市独自未確認)
17201,金沢市,17,石川県,中核市,県事業カバー,https://www.pref.ishikawa.lg.jp/ansin/ict-iot.html,石川県事業でカバー(市独自未確認)
18201,福井市,18,福井県,中核市,県事業カバー,https://www.pref.fukui.lg.jp/doc/kourei/hojyo.html,福井県事業でカバー(市独自未確認)
19201,甲府市,19,山梨県,中核市,県事業カバー,https://www.pref.yamanashi.jp/chouju/technology_model.html,山梨県事業でカバー(市独自未確認)
20201,長野市,20,長野県,中核市,県事業カバー,https://www.pref.nagano.lg.jp/kaigo-shien/jinzai/kaigotech2025.html,長野県事業でカバー(市独自未確認)
20202,松本市,20,長野県,中核市,県事業カバー,https://www.pref.nagano.lg.jp/kaigo-shien/jinzai/kaigotech2025.html,長野県事業でカバー(市独自未確認)
21201,岐阜市,21,岐阜県,中核市,県事業カバー,https://www.pref.gifu.lg.jp/page/130095.html,岐阜県事業でカバー(市独自未確認)
23201,豊橋市,23,愛知県,中核市,県事業カバー,https://www.pref.aichi.jp/soshiki/korei/kaigotekunorozi.html,愛知県事業でカバー(市独自未確認)
23202,岡崎市,23,愛知県,中核市,県事業カバー,https://www.pref.aichi.jp/soshiki/korei/kaigotekunorozi.html,愛知県事業でカバー(市独自未確認)
23203,一宮市,23,愛知県,中核市,県事業カバー,https://www.pref.aichi.jp/soshiki/korei/kaigotekunorozi.html,愛知県事業でカバー(市独自未確認)
23211,豊田市,23,愛知県,中核市,県事業カバー,https://www.pref.aichi.jp/soshiki/korei/kaigotekunorozi.html,愛知県事業でカバー(市独自未確認)
25201,大津市,25,滋賀県,中核市,県事業カバー,https://www.pref.shiga.lg.jp/ippan/kenkouiryouhukushi/koureisya/345331.html,滋賀県事業でカバー(市独自未確認)
27203,豊中市,27,大阪府,中核市,県事業カバー,https://www.pref.osaka.lg.jp/o090100/koreishisetsu/kaigo_technology/tech.html,大阪府事業でカバー(市独自未確認)
27205,吹田市,27,大阪府,中核市,県事業カバー,https://www.pref.osaka.lg.jp/o090100/koreishisetsu/kaigo_technology/tech.html,大阪府事業でカバー(市独自未確認)
27207,高槻市,27,大阪府,中核市,県事業カバー,https://www.pref.osaka.lg.jp/o090100/koreishisetsu/kaigo_technology/tech.html,大阪府事業でカバー(市独自未確認)
27210,枚方市,27,大阪府,中核市,県事業カバー,https://www.pref.osaka.lg.jp/o090100/koreishisetsu/kaigo_technology/tech.html,大阪府事業でカバー(市独自未確認)
27212,八尾市,27,大阪府,中核市,県事業カバー,https://www.pref.osaka.lg.jp/o090100/koreishisetsu/kaigo_technology/tech.html,大阪府事業でカバー(市独自未確認)
