機器ID,大分類,中分類,機器名(正規),厚労省重点分野,主な補助対象制度区分,備考
ROB-01,介護ロボット,移乗支援,移乗支援機器(装着型),移乗介助(装着型),介護ロボット/介護福祉機器助成,装着型パワーアシスト等
ROB-02,介護ロボット,移乗支援,移乗支援機器(非装着型),移乗介助(非装着型),介護ロボット/介護福祉機器助成,ロボットリフト等
ROB-03,介護ロボット,移動支援,歩行アシスト(屋内),移動支援(屋内),介護ロボット,施設内歩行支援
ROB-04,介護ロボット,移動支援,歩行アシスト(屋外),移動支援(屋外),介護ロボット,外出・散歩支援
ROB-05,介護ロボット,移動支援,装着型移動支援,移動支援(装着型),介護ロボット,
ROB-06,介護ロボット,排泄支援,自動排泄処理装置,排泄支援(排泄物処理),介護ロボット/介護福祉機器助成,
ROB-07,介護ロボット,排泄支援,トイレ誘導・排泄動作支援,排泄支援(動作支援),介護ロボット,
ROB-08,介護ロボット,排泄支援,排泄予測デバイス,排泄支援(排泄予測),介護ロボット,膀胱内蓄尿量推定等
ROB-09,介護ロボット,見守り,見守りセンサー(施設型),見守り・コミュニケーション(施設),介護ロボット/ICT,離床・体動・転倒検知
ROB-10,介護ロボット,見守り,見守りセンサー(在宅型),見守り・コミュニケーション(在宅),介護ロボット,
ROB-11,介護ロボット,コミュニケーション,コミュニケーションロボット,見守り・コミュニケーション(生活支援),介護ロボット,
ROB-12,介護ロボット,入浴支援,入浴支援機器,入浴支援,介護ロボット,
ROB-13,介護ロボット,業務支援,介護業務支援(センサー統合・AI解析),介護業務支援,介護ロボット/ICT,見守り等の情報を記録連携
ICT-01,ICT,記録・請求,介護記録ソフト,介護業務支援,介護テクノロジー(介護業務支援)/デジタル化AI導入,LIFE・請求・情報共有連携
ICT-02,ICT,記録・請求,ケアプラン作成支援ソフト,介護業務支援,介護テクノロジー/デジタル化AI導入,
ICT-03,ICT,連携,ケアプランデータ連携システム,介護業務支援,介護テクノロジー,連携加算対象
ICT-04,ICT,端末,スマートフォン・タブレット端末,-,介護テクノロジー(周辺経費),記録入力・情報共有用
ICT-05,ICT,音声連携,インカム,-,介護テクノロジー(周辺経費),ハンズフリー通話
ICT-06,ICT,ネットワーク,Wi-Fi・ネットワーク環境整備,-,介護テクノロジー(周辺経費),
ICT-07,ICT,センサー,睡眠・バイタルセンサー,見守り・コミュニケーション,介護テクノロジー/介護ロボット,
ICT-08,ICT,連携,ナースコール連携システム,-,介護テクノロジー,
ICT-09,ICT,面会・会議,オンライン面会・Web会議環境,-,介護テクノロジー,
ICT-10,ICT,セキュリティ,サイバーセキュリティ対策,-,デジタル化AI導入(セキュリティ枠),
ICT-11,ICT,労務,勤怠・シフト管理システム,-,業務改善助成金/デジタル化AI導入,
ICT-12,ICT,請求・会計,請求・会計・データ連携システム,-,デジタル化AI導入,
FUK-01,介護福祉機器,移乗,天井走行リフト,-,人材確保等支援助成金(介護福祉機器),
FUK-02,介護福祉機器,移乗,床走行式リフト,-,人材確保等支援助成金(介護福祉機器),
FUK-03,介護福祉機器,移乗,スタンディングマシン(立位補助),-,人材確保等支援助成金(介護福祉機器),
FUK-04,介護福祉機器,入浴,特殊浴槽,-,人材確保等支援助成金(介護福祉機器),
FUK-05,介護福祉機器,特殊寝台,自動体位変換機能付ベッド,-,人材確保等支援助成金(介護福祉機器),
